ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
78204,0,2,0,0,0,1,4195.0,40031.0,301
78205,2,27,0,5,1,10,17104.0,577504.0,1952
78207,0,2,0,1,0,0,15443.0,27205.0,122
78208,0,14,0,7,0,0,11452.0,171185.0,378
78209,0,34,0,14,4,4,387706.0,1615856.0,23760
78210,0,1,0,0,1,0,12428.0,38248.0,343
78212,0,11,0,3,0,2,53920.0,238115.0,4300
78214,0,2,0,1,1,0,15662.0,71956.0,98
78215,0,52,0,24,0,2,48074.0,1934608.0,5135
78216,0,38,0,14,1,3,313380.0,906444.0,14598
78217,0,2,8,0,1,1,27298.0,92304.0,592
78218,0,8,0,4,0,0,49932.0,169372.0,1328
78223,0,10,0,6,0,0,108444.0,256572.0,708
78224,0,8,0,3,0,2,29740.0,233985.0,3155
78226,0,4,0,2,0,0,4818.0,60802.0,24
78227,0,6,0,1,0,2,44292.0,119592.0,423
78228,0,2,0,0,0,1,18411.0,42418.0,258
78229,0,7,0,3,1,0,56784.0,162968.0,1528
78230,0,9,10,2,3,2,127561.0,436324.0,10115
78232,0,7,0,4,0,0,63112.0,295148.0,4292
78233,0,6,1,3,2,0,86450.0,274325.0,2455
78235,0,17,0,7,1,0,5120.0,356664.0,216
78237,0,1,0,1,0,0,10961.0,31399.0,68
78238,0,16,0,6,4,0,91270.0,504020.0,1145
78240,0,2,0,1,0,0,23493.0,56154.0,678
78245,0,6,1,4,0,0,86820.0,278436.0,5376
78249,0,7,0,3,0,1,82628.0,266156.0,4956
78251,0,38,0,12,0,6,370980.0,1182438.0,8379
78256,0,20,1,3,0,8,46981.0,1010526.0,9977
78257,0,6,10,2,0,2,14464.0,309076.0,6024
78258,0,42,0,18,0,2,321660.0,2111960.0,26890
78259,0,6,0,1,0,1,18898.0,181680.0,2200
78336,0,3,0,0,0,1,4051.0,42691.0,62
78363,7,1,8,0,2,1,31242.0,129783.0,471
78373,0,14,0,2,1,2,10875.0,298730.0,375
78382,0,9,0,0,0,3,24984.0,141294.0,594
78401,0,4,0,2,0,0,3632.0,56928.0,82
78405,0,0,2,2,0,0,10486.0,60568.0,24
78408,0,7,0,0,0,2,8206.0,69436.0,48
78410,0,2,0,0,0,1,9632.0,73481.0,260
78411,0,5,0,0,0,2,19898.0,118296.0,364
78412,0,3,0,0,0,1,15172.0,50222.0,249
78415,0,2,1,1,2,0,39852.0,147033.0,360
78416,0,3,0,0,0,1,5193.0,37710.0,7
78418,20,10,0,0,2,4,72732.0,408654.0,1347
78501,0,9,8,1,1,3,105945.0,192105.0,2130
78503,0,1,0,0,0,1,6505.0,32353.0,282
78504,0,1,0,0,0,1,18141.0,64697.0,757
78521,0,1,8,0,1,1,50648.0,64338.0,630
78539,0,4,0,0,0,1,12203.0,54158.0,387
78550,0,1,0,1,0,0,16813.0,38239.0,228
78552,0,2,0,0,2,0,25054.0,98434.0,596
78589,0,4,0,2,0,1,31779.0,116067.0,279
78597,0,15,2,1,0,5,9870.0,271326.0,1002
78602,13,10,0,0,2,0,18630.0,127184.0,874
78610,0,4,0,0,0,2,25168.0,160512.0,1134
78613,0,26,13,10,2,4,430992.0,1668928.0,91728
78617,0,18,0,9,0,0,61110.0,559611.0,1188
78620,0,4,0,1,1,1,18321.0,325710.0,3555
78624,0,34,0,0,2,12,126504.0,850654.0,2471
78628,0,8,4,6,0,2,98664.0,761904.0,7856
78629,0,1,0,1,0,0,4402.0,53783.0,117
78636,0,8,8,2,1,2,7650.0,319180.0,225
78640,0,11,14,6,0,1,128996.0,529823.0,6139
78641,0,11,0,5,1,0,131574.0,603372.0,27774
78643,0,1,0,0,1,0,2301.0,53590.0,83
78650,0,2,0,0,0,1,535.0,60515.0,56
78653,0,6,0,2,0,1,21810.0,220488.0,2856
78654,0,4,0,2,0,0,14164.0,108068.0,612
78657,0,4,0,1,0,1,5440.0,142966.0,426
78660,0,6,0,2,0,1,92655.0,264612.0,12084
78664,0,4,11,0,0,2,41212.0,151532.0,3418
78665,0,17,0,6,1,2,133119.0,863388.0,27495
78666,0,56,26,10,4,12,755404.0,1148134.0,13520
78671,0,1,0,0,1,0,0.0,0.0,14
78676,0,4,1,1,0,3,21248.0,308112.0,1644
78681,0,12,16,0,2,5,122136.0,755384.0,21756
78701,0,117,2,51,0,7,370910.0,7086556.0,111708
78702,0,54,4,31,1,0,310816.0,2102048.0,113472
78703,1,33,12,27,1,1,276805.0,3147892.0,91930
78704,1,65,20,24,1,11,902556.0,2708388.0,197244
78705,0,6,0,2,0,1,26619.0,60978.0,1659
78710,0,2,0,1,0,0,0.0,0.0,0
78717,0,56,2,22,0,4,274352.0,2927340.0,45916
78719,0,35,2,18,0,1,8132.0,1219173.0,760
78721,0,10,0,6,0,0,25248.0,279546.0,2850
78722,0,2,0,1,0,0,3260.0,72428.0,537
78723,0,33,6,21,1,0,297594.0,1302334.0,49478
78724,0,6,0,3,0,0,20328.0,151875.0,1722
78726,0,11,0,3,0,2,29385.0,386920.0,5825
78727,0,14,0,5,0,2,94899.0,565306.0,13300
78728,0,4,0,0,1,1,20016.0,115180.0,2044
78729,0,14,0,7,0,0,83286.0,565194.0,10444
78730,0,12,0,6,0,0,24354.0,744378.0,8688
78731,0,7,0,2,0,1,37611.0,284553.0,9768
78732,0,12,0,3,0,2,29335.0,838020.0,11955
78734,0,20,0,6,0,3,69759.0,1058436.0,18846
78735,0,36,1,13,0,4,129353.0,1681402.0,35717
78736,0,6,0,2,1,0,11034.0,309861.0,1638
78737,0,8,0,4,0,0,22484.0,569644.0,7100
78738,0,32,0,10,0,4,87024.0,1818698.0,29246
78741,0,51,0,24,0,2,563264.0,1191710.0,39234
78744,0,16,3,11,0,0,170423.0,575795.0,12947
78745,0,30,1,13,3,0,428096.0,1034016.0,39200
78746,0,46,5,27,1,1,315926.0,4402229.0,149379
78747,0,5,1,2,0,1,20913.0,248433.0,2172
78748,0,4,12,1,1,1,60717.0,230727.0,6546
78749,2,14,0,6,0,2,123424.0,845872.0,8696
78750,0,9,0,3,0,1,47432.0,408520.0,9248
78751,0,7,0,3,0,1,31644.0,257360.0,4952
78752,0,53,8,27,0,1,237552.0,1356712.0,18424
78753,0,50,2,16,0,10,534352.0,1327378.0,13533
78754,0,30,0,15,0,0,132240.0,1091280.0,17160
78756,0,6,0,3,0,0,13017.0,247605.0,2982
78757,0,6,1,2,0,1,32811.0,230148.0,6741
78758,0,148,34,68,6,6,1667520.0,4405920.0,103080
78759,0,58,18,15,0,3,372078.0,1539990.0,56466
78801,0,2,0,0,0,1,7223.0,42360.0,60
78834,0,10,0,0,0,1,2409.0,29115.0,0
78840,0,1,0,0,1,0,15578.0,46345.0,239
78852,0,2,0,1,0,0,15986.0,39548.0,221
78873,0,2,0,1,0,0,652.0,37045.0,17
78934,0,0,10,0,0,2,4760.0,107064.0,148
