ZIP_CODE,EV_LEVEL_1,EV_LEVEL_2,EV_FAST,NETWORK_TYPE_ChargePoint,NETWORK_TYPE_Non-Networked,NETWORK_TYPE_Other-Network,TOTAL_HOUSEHOLDS,MEDIAN_INCOME,REG_COUNTS
78732,0,12,0,3,0,2,5867.0,167604.0,2391
78734,0,20,0,6,0,3,7751.0,117604.0,2094
78735,0,36,1,13,0,4,7609.0,98906.0,2101
78736,0,6,0,2,1,0,3678.0,103287.0,546
78737,0,8,0,4,0,0,5621.0,142411.0,1775
78738,0,16,0,5,0,2,6216.0,129907.0,4178
78741,0,51,0,24,0,2,21664.0,45835.0,1509
78744,0,16,3,11,0,0,15493.0,52345.0,1177
78745,0,30,1,13,3,0,26756.0,64626.0,2450
78746,0,46,5,27,1,1,10894.0,151801.0,5151
78747,0,5,1,2,0,1,6971.0,82811.0,724
78748,0,4,12,1,1,1,20239.0,76909.0,2182
78749,1,7,0,3,0,1,15428.0,105734.0,2174
78750,0,9,0,3,0,1,11858.0,102130.0,2312
78751,0,7,0,3,0,1,7911.0,64340.0,1238
78752,0,53,8,27,0,1,8484.0,48454.0,658
78753,0,25,1,8,0,5,20552.0,51053.0,1041
78754,0,30,0,15,0,0,8816.0,72752.0,1144
78756,0,6,0,3,0,0,4339.0,82535.0,994
78757,0,6,1,2,0,1,10937.0,76716.0,2247
78758,0,74,17,34,3,3,20844.0,55074.0,2577
78759,0,58,18,15,0,3,20671.0,85555.0,3137
78801,0,2,0,0,0,1,7223.0,42360.0,60
78834,0,10,0,0,0,1,2409.0,29115.0,0
78840,0,1,0,0,1,0,15578.0,46345.0,239
78852,0,2,0,1,0,0,15986.0,39548.0,221
78873,0,2,0,1,0,0,652.0,37045.0,17
78934,0,0,10,0,0,2,2380.0,53532.0,74
78941,0,0,8,0,0,1,935.0,60625.0,6
78942,0,0,8,0,0,1,2965.0,52637.0,47
78950,0,2,0,0,0,1,800.0,54292.0,34
78954,0,1,0,0,1,0,513.0,69464.0,13
79029,0,16,0,0,0,2,5006.0,58824.0,28
79070,0,1,0,0,1,0,3328.0,50143.0,25
79079,0,0,6,0,0,1,1131.0,43277.0,28
79118,0,3,0,0,0,1,7993.0,75021.0,335
79119,0,3,0,0,2,0,6810.0,85490.0,373
79124,0,7,12,0,0,4,3444.0,97071.0,132
79201,0,2,8,1,0,1,2430.0,43507.0,14
79370,0,2,0,1,0,0,626.0,39907.0,17
79401,0,5,0,1,0,1,3302.0,19900.0,62
79407,0,1,0,1,0,0,9475.0,45542.0,295
79424,0,4,1,2,2,0,18856.0,84450.0,737
79556,0,0,12,0,0,2,4571.0,44840.0,24
79567,0,1,0,1,0,0,1291.0,38806.0,0
79606,0,6,0,0,1,2,10223.0,64465.0,300
79701,0,0,4,0,0,1,10006.0,57064.0,146
79706,0,1,8,1,0,1,7594.0,85772.0,168
79707,0,1,0,0,1,0,14497.0,98015.0,404
79720,3,0,0,0,1,0,10537.0,54479.0,119
79734,0,3,0,0,0,1,1005.0,53401.0,22
79735,0,0,12,0,0,2,3965.0,48313.0,42
79756,0,2,0,0,0,1,3276.0,66667.0,15
79772,0,3,12,0,0,3,3058.0,55507.0,36
79821,2,0,0,0,1,0,1855.0,37083.0,77
79843,0,3,0,0,0,1,954.0,41163.0,23
79855,0,0,12,0,0,2,557.0,35813.0,28
79901,0,9,0,3,1,1,3669.0,13574.0,75
79902,0,2,0,0,0,1,8067.0,34791.0,410
79905,0,5,0,3,0,0,7565.0,23394.0,42
79907,0,4,0,0,0,2,16518.0,31784.0,133
79911,0,5,0,3,0,0,2004.0,104797.0,233
79912,0,8,0,3,0,1,28490.0,60503.0,2126
79925,0,26,1,5,2,5,14668.0,47596.0,278
79932,0,0,8,0,0,1,8899.0,67753.0,478
79935,0,0,4,0,0,1,6216.0,55054.0,123
79936,0,4,0,0,1,1,35437.0,54870.0,762
85248,0,2,0,0,0,1,16253.0,76457.0,0
97005,7,118,5,6,13,12,11286.0,50932.0,466
97006,0,61,13,2,10,7,27222.0,78919.0,990
97007,0,2,0,0,0,1,25528.0,85346.0,1402
97013,0,3,0,0,2,0,8718.0,74124.0,302
97014,0,1,1,0,0,1,585.0,52117.0,25
97015,1,15,3,4,1,5,8903.0,78106.0,336
97016,0,5,3,0,0,3,2539.0,45910.0,27
97023,0,8,0,0,0,2,3867.0,70917.0,111
97027,0,6,1,2,2,1,4796.0,64478.0,116
97028,0,1,1,0,0,1,105.0,69440.0,9
97030,0,15,0,4,1,3,14800.0,50680.0,251
97031,1,16,13,3,1,8,7237.0,66970.0,325
97034,0,21,4,0,0,10,7771.0,128048.0,1317
97035,0,55,0,4,2,10,11305.0,98557.0,1155
97038,0,1,0,0,0,1,5633.0,64678.0,93
97040,0,1,0,0,1,0,592.0,77240.0,24
97041,0,3,0,0,1,1,817.0,62625.0,20
97045,0,26,0,7,2,5,20559.0,79315.0,839
97048,0,2,1,0,0,1,2704.0,56483.0,61
97051,0,3,0,1,1,0,6383.0,59070.0,162
97054,0,2,2,3,0,0,580.0,73667.0,14
97055,0,3,10,0,1,3,7027.0,78883.0,168
97056,0,3,1,2,0,1,4627.0,76935.0,202
97058,0,6,7,1,2,2,8122.0,52399.0,156
97060,5,8,4,2,1,5,7098.0,75291.0,204
97062,0,7,2,0,0,5,11175.0,87798.0,655
97067,0,1,1,0,0,1,863.0,63990.0,35
97068,0,2,0,0,1,0,10994.0,113389.0,1090
97070,1,19,7,4,4,4,10185.0,73569.0,689
97071,0,9,13,4,1,3,9188.0,54079.0,146
97080,0,1,0,0,0,1,15399.0,75431.0,496
97086,0,14,4,0,0,10,11378.0,94031.0,785
97101,0,5,0,0,1,2,1473.0,76397.0,36
97103,4,9,1,0,1,4,7380.0,55549.0,140
97106,0,2,2,0,0,3,1519.0,103958.0,85
97110,0,15,1,0,1,5,505.0,31202.0,38
97111,0,6,0,0,1,2,1302.0,65000.0,73
97113,0,6,3,0,1,3,4465.0,69952.0,111
97114,0,12,0,0,0,6,1606.0,66486.0,53
97115,0,7,0,0,1,4,1474.0,77813.0,95
97116,0,5,0,0,0,4,9479.0,65911.0,391
97119,0,2,0,0,0,1,1511.0,94904.0,71
97123,1,44,5,17,0,7,16272.0,81774.0,941
97124,0,81,3,14,8,11,20830.0,90460.0,1196
97128,0,12,1,1,3,5,14262.0,56620.0,354
97132,0,10,1,0,2,5,10351.0,71983.0,460
97133,0,2,0,0,0,1,1766.0,95357.0,132
97134,0,4,0,0,1,1,173.0,64485.0,11
97138,0,6,8,1,0,2,4368.0,49976.0,119
97140,3,17,5,8,1,4,9045.0,106855.0,625
97141,0,14,3,4,1,4,5347.0,49347.0,92
97145,0,9,0,0,0,2,156.0,92273.0,2
97146,0,6,4,2,0,2,2370.0,59286.0,34
97148,0,2,0,0,1,1,1346.0,95000.0,38
97201,0,35,0,2,2,9,9180.0,55485.0,472
97202,0,7,1,3,0,4,18304.0,81772.0,1483
97203,0,8,0,4,0,0,12249.0,68860.0,530
97204,0,50,1,5,1,9,384.0,20593.0,91
97205,0,43,0,7,0,8,5069.0,37420.0,4302
97206,0,4,4,2,0,1,20618.0,69672.0,1037
97209,0,57,0,3,1,8,13072.0,66435.0,594
97210,0,16,1,4,0,3,6710.0,77845.0,684
97211,0,5,0,0,0,3,13620.0,81802.0,933
97212,0,4,0,1,0,1,10908.0,106705.0,1166
97213,0,17,4,0,0,9,14023.0,77804.0,851
97214,5,16,0,3,3,4,13149.0,69946.0,747
97215,0,3,0,0,0,2,7850.0,83371.0,685
97217,0,44,7,15,1,6,14694.0,80953.0,906
97218,0,11,2,0,0,4,5476.0,66285.0,301
97219,1,13,3,0,5,4,16878.0,98755.0,1755
97220,0,12,1,1,2,4,11372.0,56196.0,348
97222,0,25,4,1,1,7,15791.0,60318.0,552
97223,0,17,25,2,0,13,19693.0,83350.0,1198
97224,0,10,3,0,0,7,14763.0,77540.0,927
97225,0,14,0,2,1,2,11388.0,89916.0,1055
97227,0,23,0,1,0,5,2574.0,71232.0,455
97229,0,4,0,1,0,1,25161.0,122881.0,3795
97230,0,4,2,0,2,2,15147.0,54581.0,434
97231,0,2,0,1,0,0,1578.0,101528.0,267
