ZIP_CODE,TOTAL_HOUSEHOLDS,MEDIAN_INCOME
5680,898,67931
5681,151,67917
5682,542,62727
5701,9117,52282
5730,117,65625
5732,330,44375
5733,2475,61864
5734,568,63529
5735,1722,45900
5736,246,49643
5737,376,77750
5738,482,71538
5739,522,58929
5742,273,78542
5743,1574,55714
5744,251,60703
5747,120,70417
5748,150,53750
5751,314,64231
5753,3684,67772
5757,337,62566
5758,303,72917
5759,701,53618
5760,488,62857
5761,428,55000
5762,189,50781
5763,1071,55217
5764,1264,48991
5765,721,64528
5766,273,70893
5767,527,50089
5769,455,74485
5770,445,59511
5772,307,66964
5773,921,61250
5774,437,67917
5775,195,47917
5776,277,55795
5777,1432,60104
5778,269,53958
5819,3839,43641
5820,254,48214
5821,463,65568
5822,700,45921
5824,491,55069
5825,37,38750
5826,385,56354
5827,115,57188
5828,872,58421
5829,725,45052
5830,619,50250
5832,400,52339
5833,108,77661
5836,483,60875
5837,126,38750
5839,296,48929
5841,182,45000
5842,215,59135
5843,1164,43652
5845,529,45729
5846,532,43000
5847,365,50625
5851,2437,51101
5853,226,45000
5855,3084,49750
5857,1139,64104
5858,195,32917
5859,745,47708
5860,1194,47864
5862,126,77778
5866,269,59750
5867,311,63417
5868,128,70000
5871,577,53523
5872,398,31111
5873,290,63382
5874,244,47188
5875,178,42000
5902,96,29167
5903,365,46635
5904,105,27981
5905,349,50089
5906,556,45625
5907,67,41250
6001,7133,127230
6002,8727,76717
6010,24638,67507
6013,3462,127353
6016,2638,89029
6018,1186,55000
6019,3983,84828
6021,136,108000
6022,63,199097
6023,617,95699
6024,221,95972
6026,2027,104336
6027,551,101397
6029,6982,91042
6031,567,81815
6032,7276,93497
6033,11247,116766
6035,2948,108571
6037,7564,103702
6039,957,72604
6040,14013,68974
6042,9632,80516
6043,1821,105772
6051,11857,36634
6052,3169,74340
6053,13232,51283
6057,2359,111788
6058,711,76354
