DMV_ID,DMV_Snapshot_Date,Zip_code,VIN_Prefix,Registration_Valid_Date,State_Code,EV_Make_Model
3,DMV Direct (1/27/2020),48473,1G1RD6E4,7/9/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48178,5YJXCBE2,7/9/2019,MI,Tesla Model X
3,DMV Direct (1/27/2020),49426,KMHE14L2,7/9/2019,MI,Hyundai Sonata Plug In
3,DMV Direct (1/27/2020),48065,3FA6P0PU,7/9/2019,MI,Ford Fusion Energi
3,DMV Direct (1/27/2020),48732,5ASAG474,7/9/2019,MI,GEM NEV
3,DMV Direct (1/27/2020),48085,2C4RC1N7,7/9/2019,MI,Chrysler Pacifica
3,DMV Direct (1/27/2020),49412,5ASAG474,7/9/2019,MI,GEM NEV
3,DMV Direct (1/27/2020),48442,1G1FX6S0,7/9/2019,MI,Chevrolet Bolt EV
3,DMV Direct (1/27/2020),48827,1G1RA6E4,7/12/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48326,WA1VABGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48331,1FADP5EU,7/16/2019,MI,Ford C-Max Energi
3,DMV Direct (1/27/2020),48326,WA1VAAGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48235,1FADP5CU,7/16/2019,MI,Ford C-Max Energi
3,DMV Direct (1/27/2020),48237,1FADP5CU,7/16/2019,MI,Ford C-Max Energi
3,DMV Direct (1/27/2020),49071,5YJ3E1EB,7/16/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48103,WA1VABGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48160,5YJ3E1EB,7/16/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48326,WA1VABGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48326,WA1VABGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48111,1G1RA6E4,7/16/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48188,3FA6P0PU,7/16/2019,MI,Ford Fusion Energi
3,DMV Direct (1/27/2020),48312,1N4AZ0CP,7/16/2019,MI,Nissan Leaf
3,DMV Direct (1/27/2020),49548,1N4AZ0CP,7/16/2019,MI,Nissan Leaf
3,DMV Direct (1/27/2020),48346,1G1RB6S5,7/16/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48322,WBY2Z2C5,7/16/2019,MI,BMW i8
3,DMV Direct (1/27/2020),48219,1G1RC6E4,7/16/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48326,WA1VAAGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48377,5YJSA1H1,7/16/2019,MI,Tesla Model S
3,DMV Direct (1/27/2020),48304,5YJXCAE2,7/16/2019,MI,Tesla Model X
3,DMV Direct (1/27/2020),48104,WA1VAAGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48025,1G1FX6S0,7/16/2019,MI,Chevrolet Bolt EV
3,DMV Direct (1/27/2020),48309,5YJSA1E4,7/16/2019,MI,Tesla Model S
3,DMV Direct (1/27/2020),48168,5YJ3E1EB,7/16/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48326,WA1VAAGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48188,1G1FX6S0,7/16/2019,MI,Chevrolet Bolt EV
3,DMV Direct (1/27/2020),48103,1G1RH6E4,7/16/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48326,WA1VAAGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48326,WA1VAAGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),48371,3FA6P0SU,7/16/2019,MI,Ford Fusion Energi
3,DMV Direct (1/27/2020),48895,WAUVPBFF,7/16/2019,MI,Audi A3 Plug In
3,DMV Direct (1/27/2020),48471,5YJ3E1EB,7/15/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48071,5YJ3E1EB,7/15/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48380,JTDKARFP,7/15/2019,MI,Toyota Prius Prime
3,DMV Direct (1/27/2020),48329,5YJ3E1EB,7/16/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48336,5YJ3E1EA,7/16/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),48326,WA1VABGE,7/16/2019,MI,Audi e-tron
3,DMV Direct (1/27/2020),49418,1G6RL1E4,7/16/2019,MI,Cadillac ELR
3,DMV Direct (1/27/2020),49221,3FA6P0PU,7/15/2019,MI,Ford Fusion Energi
3,DMV Direct (1/27/2020),48386,JA4J24A5,7/15/2019,MI,Mitsubishi Outlander Plug In
3,DMV Direct (1/27/2020),48207,3FA6P0PU,7/15/2019,MI,Ford Fusion Energi
3,DMV Direct (1/27/2020),49107,1G1RD6S5,7/15/2019,MI,Chevrolet Volt
3,DMV Direct (1/27/2020),48092,1G1FZ6S0,7/15/2019,MI,Chevrolet Bolt EV
3,DMV Direct (1/27/2020),49002,5YJ3E1EA,7/15/2019,MI,Tesla Model 3
3,DMV Direct (1/27/2020),49120,5YJSA1S1,7/15/2019,MI,Tesla Model S
3,DMV Direct (1/27/2020),48329,1FADP5CU,7/15/2019,MI,Ford C-Max Energi
